iter	Passed	Remaining
966	3308	112
967	3311	109
968	3315	106
969	3318	102
970	3322	99
971	3326	95
972	3329	92
973	3333	88
974	3336	85
975	3340	82
976	3343	78
977	3346	75
978	3349	71
979	3353	68
980	3357	65
981	3360	61
982	3363	58
983	3366	54
984	3370	51
985	3374	47
986	3377	44
987	3380	41
988	3384	37
989	3387	34
990	3390	30
991	3393	27
992	3397	23
993	3401	20
994	3404	17
995	3407	13
996	3410	10
997	3415	6
998	3418	3
999	3421	0
